,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,loss,trial_number,accuracy,precision,recall,f1,auc
31,0.0,95.0,2.0,0.01918729536308532,0.07402535245191383,397.0,0.3090821955482608,31,0.6909178044517392,0.630291017834209,0.7930206364859541,0.6068518234592208,0.8507921753511649
32,0.0,37.0,0.0,0.007478587414457751,0.1600199957579253,806.0,0.2989168648676379,32,0.7010831351323621,0.6335265004761543,0.7978942766382344,0.614881776242751,0.8490579895024759
33,0.0,37.0,0.0,0.2911245359036249,0.1473117094714317,423.0,0.37416814389122144,33,0.6258318561087786,0.6205276274527034,0.7791682244228614,0.5611108505540925,0.8287955330245904
34,0.0,42.0,2.0,0.009475540232108807,0.24793593706701825,562.0,0.298587651639181,34,0.701412348360819,0.632940906599997,0.7962602719159391,0.6146610000242572,0.8438940202379754
35,0.0,2.0,2.0,0.03683494531645672,0.24420665207232267,744.0,0.3128143394531604,35,0.6871856605468396,0.6290810857678345,0.7910672846051848,0.6038824704364072,0.8448323793463534
36,0.0,42.0,2.0,0.0012319529966186916,0.39679158447816865,592.0,0.37424528582319505,36,0.625754714176805,0.620498305893158,0.779101469538344,0.5610456807778718,0.8254292437959696
37,0.0,63.0,2.0,0.2152322087074108,0.23845600544887985,78.0,0.37358251822843624,37,0.6264174817715638,0.6206531906199495,0.7794489921172764,0.5615542327185328,0.8266204043422849
38,0.0,82.0,2.0,0.09998921218601858,0.28827411687344595,186.0,0.31456361042689673,38,0.6854363895731033,0.6291221294945842,0.7916714993734406,0.6028944156389716,0.8364340022957361
39,0.0,47.0,3.0,0.295410790409367,0.42729410660398837,81.0,0.3842476434937132,39,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8181095977250656
40,0.0,20.0,4.0,0.16251413078938307,0.5040118737860985,185.0,0.3842476434937132,40,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8247064674328504
41,0.0,55.0,2.0,0.3825424010285278,0.35163970183742627,583.0,0.42461143977791893,41,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
42,0.0,70.0,1.0,0.030217151294953795,0.08921846453329493,204.0,0.3092549462545221,42,0.6907450537454779,0.6308019166410015,0.7943680942935293,0.6070953179323302,0.8493319376814241
43,0.0,52.0,2.0,0.2338267028757368,0.6135329363638453,257.0,0.3742626698822168,43,0.6257373301177832,0.6204955312485297,0.7790953531480242,0.5610330235238962,0.8265183777779731
44,0.0,64.0,4.0,0.0012025420150464025,0.2157102541161757,255.0,0.29416231463494014,44,0.7058376853650599,0.6342408445474106,0.7978801105942231,0.6180495451188328,0.8505877762853172
45,0.0,64.0,4.0,0.10360564756271966,0.20929825440802072,97.0,0.3842476434937132,45,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8318858749468315
46,0.0,19.0,4.0,0.14315137485904852,0.4961793088352606,343.0,0.3842476434937132,46,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.824730451825266
47,0.0,10.0,4.0,0.06068110828301859,0.9743771189343191,379.0,0.42461143977791893,47,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
48,0.0,0.0,4.0,0.4801744553756072,0.872531307381869,772.0,0.575388560222081,48,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
49,0.0,76.0,3.0,0.3426465627818262,0.13058248674718326,94.0,0.7261656806662429,49,0.27383431933375707,0.13691715966687854,0.5,0.18110198003140715,0.5
50,0.0,15.0,5.0,0.12797758418389105,0.062199472078267426,569.0,0.3842476434937132,50,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8088602796481311
51,0.0,60.0,4.0,0.18848973527511775,0.31890706630322835,81.0,0.3842476434937132,51,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.8244948716278504
52,0.0,35.0,1.0,0.04009158427533266,0.641577387483862,606.0,0.42461143977791893,52,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
53,0.0,62.0,4.0,0.2751473485342528,0.8191332677237356,707.0,0.42461143977791893,53,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
54,0.0,2.0,5.0,0.10568348429603201,0.3580232898376443,566.0,0.3842476434937132,54,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.7736034528849005
55,0.0,25.0,3.0,0.0008842094359586793,0.2038730746725035,856.0,0.29823127957726536,55,0.7017687204227346,0.6335821758287243,0.7977879917025208,0.6153095387217787,0.8506792575358813
56,0.0,73.0,1.0,0.1688707271763732,0.4048901058709419,54.0,0.3640767135215033,56,0.6359232864784967,0.6219505558300795,0.7819238190678162,0.5682910013437666,0.8249071374896445
57,0.0,31.0,4.0,0.39819746980374954,0.2787195555567491,490.0,0.42461143977791893,57,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
58,0.0,78.0,5.0,0.323708401760388,0.6948968406136001,210.0,0.42461143977791893,58,0.5753885602220811,0.28769428011104053,0.5,0.3241601043430524,0.5
59,0.0,7.0,0.0,0.0513376023595845,0.052764447774057206,113.0,0.3106109076392104,59,0.6893890923607896,0.6304863166565248,0.7939858882691115,0.606099749154299,0.8485484290838248
60,0.0,68.0,4.0,0.021873800696406164,0.4528150949717594,255.0,0.3842476434937132,60,0.6157523565062868,0.6181060043650641,0.7736034528849005,0.5533313581554692,0.824730451825266
61,0.0,16.0,3.0,0.4533278551502284,0.5475649075215324,398.0,0.575388560222081,61,0.42461143977791904,0.21230571988895952,0.5,0.25263104218722976,0.5
62,0.0,5.0,0.0,0.24542486158541818,0.12627409220063945,774.0,0.37423659379073304,62,0.625763406209267,0.6205005013395265,0.7791064254001994,0.5610524375311352,0.8270610130697307
63,0.0,49.0,1.0,0.09019091770353968,0.18747349214432973,836.0,0.30832707639459156,63,0.6916729236054084,0.6293636507439344,0.7904187948682505,0.6066568152408065,0.8428907535687721
64,0.0,59.0,0.0,0.12866009014177826,0.31753065325547697,255.0,0.3217703924595682,64,0.6782296075404318,0.6286021260415161,0.7922419734290145,0.5983179376441806,0.8371324152146397
65,0.0,50.0,3.0,0.06930124664310124,0.2138676028078242,867.0,0.30839226694793653,65,0.6916077330520635,0.6287717051677346,0.7889280596011699,0.6062151346884044,0.8481544295484206
66,0.0,25.0,3.0,0.00023719990139850944,0.2712798649126432,399.0,0.31133669314957835,66,0.6886633068504217,0.6290938192383974,0.7906611556093381,0.6047458233832186,0.8379715787855776
67,0.0,58.0,3.0,0.04307663465502057,0.16816350741808356,567.0,0.312695910055637,67,0.687304089944363,0.6286491372444705,0.7899355204866113,0.6036624185166373,0.8497477076076407
68,0.0,89.0,3.0,5.6581014529424965e-05,0.04216843857205399,373.0,0.3036159931061344,68,0.6963840068938656,0.6341241398919182,0.8010710214659312,0.6125984650595735,0.8587207797148284
69,0.0,53.0,3.0,0.02386357834384592,0.002502132914571936,504.0,0.31921928157236357,69,0.6807807184276364,0.6290845172471178,0.79282361870968,0.6001390607430033,0.853901775770219
